slate_id,customer_id,anchor_date,position,stock_code
S00001,16618,2011-06-01,1,22697
S00001,16618,2011-06-01,2,21668
S00001,16618,2011-06-01,3,23209
S00001,16618,2011-06-01,4,84879
S00001,16618,2011-06-01,5,23175
S00001,16618,2011-06-01,6,22993
S00001,16618,2011-06-01,7,22555
S00001,16618,2011-06-01,8,22771
S00001,16618,2011-06-01,9,20725
S00001,16618,2011-06-01,10,23301
S00002,18211,2011-11-15,1,23332
S00002,18211,2011-11-15,2,23266
S00002,18211,2011-11-15,3,22469
S00002,18211,2011-11-15,4,23321
S00002,18211,2011-11-15,5,22144
S00002,18211,2011-11-15,6,23273
S00002,18211,2011-11-15,7,23301
S00002,18211,2011-11-15,8,35970
S00002,18211,2011-11-15,9,23198
S00002,18211,2011-11-15,10,23263
S00003,15059,2010-09-01,1,82599
S00003,15059,2010-09-01,2,85123A
S00003,15059,2010-09-01,3,21174
S00003,15059,2010-09-01,4,22469
S00003,15059,2010-09-01,5,21181
S00003,15059,2010-09-01,6,22412
S00003,15059,2010-09-01,7,22212
S00003,15059,2010-09-01,8,21903
S00003,15059,2010-09-01,9,21171
S00003,15059,2010-09-01,10,22667
S00004,16817,2011-03-01,1,22469
S00004,16817,2011-03-01,2,22866
S00004,16817,2011-03-01,3,22961
S00004,16817,2011-03-01,4,22141
S00004,16817,2011-03-01,5,84879
S00004,16817,2011-03-01,6,22147
S00004,16817,2011-03-01,7,21181
S00004,16817,2011-03-01,8,22739
S00004,16817,2011-03-01,9,22759
S00004,16817,2011-03-01,10,22748
S00005,14984,2010-09-01,1,22114
S00005,14984,2010-09-01,2,21535
S00005,14984,2010-09-01,3,72802B
S00005,14984,2010-09-01,4,22138
S00005,14984,2010-09-01,5,22189
S00005,14984,2010-09-01,6,84580
S00005,14984,2010-09-01,7,85232B
S00005,14984,2010-09-01,8,21754
S00005,14984,2010-09-01,9,84944
S00005,14984,2010-09-01,10,22312
S00006,16980,2011-06-01,1,20725
S00006,16980,2011-06-01,2,84380
S00006,16980,2011-06-01,3,22554
S00006,16980,2011-06-01,4,21122
S00006,16980,2011-06-01,5,22383
S00006,16980,2011-06-01,6,20727
S00006,16980,2011-06-01,7,85099B
S00006,16980,2011-06-01,8,22662
S00006,16980,2011-06-01,9,22993
S00006,16980,2011-06-01,10,22292
S00007,12599,2011-09-01,1,47566
S00007,12599,2011-09-01,2,23298
S00007,12599,2011-09-01,3,23209
S00007,12599,2011-09-01,4,23203
S00007,12599,2011-09-01,5,85099B
S00007,12599,2011-09-01,6,85123A
S00007,12599,2011-09-01,7,20725
S00007,12599,2011-09-01,8,23245
S00007,12599,2011-09-01,9,22423
S00007,12599,2011-09-01,10,23206
S00008,16841,2011-09-01,1,85131D
S00008,16841,2011-09-01,2,22322
S00008,16841,2011-09-01,3,35648
S00008,16841,2011-09-01,4,20724
S00008,16841,2011-09-01,5,21992
S00008,16841,2011-09-01,6,21220
S00008,16841,2011-09-01,7,20717
S00008,16841,2011-09-01,8,20733
S00008,16841,2011-09-01,9,21675
S00008,16841,2011-09-01,10,22344
S00009,13048,2011-11-15,1,23209
S00009,13048,2011-11-15,2,23206
S00009,13048,2011-11-15,3,22382
S00009,13048,2011-11-15,4,23203
S00009,13048,2011-11-15,5,20726
S00009,13048,2011-11-15,6,23208
S00009,13048,2011-11-15,7,23199
S00009,13048,2011-11-15,8,23202
S00009,13048,2011-11-15,9,23201
S00009,13048,2011-11-15,10,22411
S00010,17955,2011-06-01,1,23049
S00010,17955,2011-06-01,2,22192
S00010,17955,2011-06-01,3,22423
S00010,17955,2011-06-01,4,22193
S00010,17955,2011-06-01,5,22501
S00010,17955,2011-06-01,6,21754
S00010,17955,2011-06-01,7,23181
S00010,17955,2011-06-01,8,48138
S00010,17955,2011-06-01,9,22925
S00010,17955,2011-06-01,10,47566
S00011,13696,2010-12-01,1,22666
S00011,13696,2010-12-01,2,22727
S00011,13696,2010-12-01,3,22429
S00011,13696,2010-12-01,4,85123A
S00011,13696,2010-12-01,5,22910
S00011,13696,2010-12-01,6,20914
S00011,13696,2010-12-01,7,84924A
S00011,13696,2010-12-01,8,22698
S00011,13696,2010-12-01,9,22303
S00011,13696,2010-12-01,10,85054
S00012,14535,2011-06-01,1,20725
S00012,14535,2011-06-01,2,21672
S00012,14535,2011-06-01,3,84879
S00012,14535,2011-06-01,4,21181
S00012,14535,2011-06-01,5,22558
S00012,14535,2011-06-01,6,85099B
S00012,14535,2011-06-01,7,22083
S00012,14535,2011-06-01,8,21155
S00012,14535,2011-06-01,9,22666
S00012,14535,2011-06-01,10,22077
S00013,17829,2011-03-01,1,21181
S00013,17829,2011-03-01,2,82600
S00013,17829,2011-03-01,3,21169
S00013,17829,2011-03-01,4,21907
S00013,17829,2011-03-01,5,82599
S00013,17829,2011-03-01,6,82582
S00013,17829,2011-03-01,7,21174
S00013,17829,2011-03-01,8,22469
S00013,17829,2011-03-01,9,21874
S00013,17829,2011-03-01,10,21903
S00014,14949,2010-12-01,1,21175
S00014,14949,2010-12-01,2,37450
S00014,14949,2010-12-01,3,21232
S00014,14949,2010-12-01,4,22057
S00014,14949,2010-12-01,5,85152
S00014,14949,2010-12-01,6,21165
S00014,14949,2010-12-01,7,85150
S00014,14949,2010-12-01,8,22645
S00014,14949,2010-12-01,9,82583
S00014,14949,2010-12-01,10,85123A
S00015,16807,2011-09-01,1,23206
S00015,16807,2011-09-01,2,20725
S00015,16807,2011-09-01,3,22384
S00015,16807,2011-09-01,4,20727
S00015,16807,2011-09-01,5,22662
S00015,16807,2011-09-01,6,23207
S00015,16807,2011-09-01,7,23199
S00015,16807,2011-09-01,8,23208
S00015,16807,2011-09-01,9,23202
S00015,16807,2011-09-01,10,21931
S00016,17368,2011-06-01,1,22980
S00016,17368,2011-06-01,2,21209
S00016,17368,2011-06-01,3,20728
S00016,17368,2011-06-01,4,22553
S00016,17368,2011-06-01,5,22991
S00016,17368,2011-06-01,6,22949
S00016,17368,2011-06-01,7,22629
S00016,17368,2011-06-01,8,21122
S00016,17368,2011-06-01,9,22993
S00016,17368,2011-06-01,10,23193
S00017,15182,2011-09-01,1,47566
S00017,15182,2011-09-01,2,23298
S00017,15182,2011-09-01,3,23209
S00017,15182,2011-09-01,4,23203
S00017,15182,2011-09-01,5,85099B
S00017,15182,2011-09-01,6,85123A
S00017,15182,2011-09-01,7,20725
S00017,15182,2011-09-01,8,23245
S00017,15182,2011-09-01,9,22423
S00017,15182,2011-09-01,10,23206
S00019,14702,2011-11-15,1,21670
S00019,14702,2011-11-15,2,35915C
S00019,14702,2011-11-15,3,21556
S00019,14702,2011-11-15,4,82583
S00019,14702,2011-11-15,5,21934
S00019,14702,2011-11-15,6,21481
S00019,14702,2011-11-15,7,21731
S00019,14702,2011-11-15,8,21155
S00019,14702,2011-11-15,9,20619
S00019,14702,2011-11-15,10,21668
S00021,14315,2011-09-01,1,23203
S00021,14315,2011-09-01,2,20725
S00021,14315,2011-09-01,3,20728
S00021,14315,2011-09-01,4,22383
S00021,14315,2011-09-01,5,23200
S00021,14315,2011-09-01,6,20727
S00021,14315,2011-09-01,7,23209
S00021,14315,2011-09-01,8,85099F
S00021,14315,2011-09-01,9,21931
S00021,14315,2011-09-01,10,23201
S00022,13240,2011-11-15,1,23395
S00022,13240,2011-11-15,2,85123A
S00022,13240,2011-11-15,3,23012
S00022,13240,2011-11-15,4,82482
S00022,13240,2011-11-15,5,82567
S00022,13240,2011-11-15,6,23403
S00022,13240,2011-11-15,7,23393
S00022,13240,2011-11-15,8,22910
S00022,13240,2011-11-15,9,22604
S00022,13240,2011-11-15,10,22666
S00023,12957,2011-11-15,1,85099B
S00023,12957,2011-11-15,2,23355
S00023,12957,2011-11-15,3,22086
S00023,12957,2011-11-15,4,23203
S00023,12957,2011-11-15,5,85123A
S00023,12957,2011-11-15,6,22423
S00023,12957,2011-11-15,7,84879
S00023,12957,2011-11-15,8,23209
S00023,12957,2011-11-15,9,20725
S00023,12957,2011-11-15,10,22720
S00024,17809,2010-12-01,1,22423
S00024,17809,2010-12-01,2,22752
S00024,17809,2010-12-01,3,22634
S00024,17809,2010-12-01,4,22946
S00024,17809,2010-12-01,5,35400
S00024,17809,2010-12-01,6,22625
S00024,17809,2010-12-01,7,20685
S00024,17809,2010-12-01,8,21843
S00024,17809,2010-12-01,9,21258
S00024,17809,2010-12-01,10,22654
S00025,15439,2010-12-01,1,22867
S00025,15439,2010-12-01,2,22834
S00025,15439,2010-12-01,3,21733
S00025,15439,2010-12-01,4,22086
S00025,15439,2010-12-01,5,21481
S00025,15439,2010-12-01,6,22666
S00025,15439,2010-12-01,7,85099B
S00025,15439,2010-12-01,8,22694
S00025,15439,2010-12-01,9,21181
S00025,15439,2010-12-01,10,22551
S00026,17995,2011-06-01,1,22607
S00026,17995,2011-06-01,2,22193
S00026,17995,2011-06-01,3,20750
S00026,17995,2011-06-01,4,47566
S00026,17995,2011-06-01,5,85014B
S00026,17995,2011-06-01,6,22424
S00026,17995,2011-06-01,7,22752
S00026,17995,2011-06-01,8,22636
S00026,17995,2011-06-01,9,22825
S00026,17995,2011-06-01,10,21625
S00027,12679,2011-11-15,1,85099B
S00027,12679,2011-11-15,2,23355
S00027,12679,2011-11-15,3,22086
S00027,12679,2011-11-15,4,23203
S00027,12679,2011-11-15,5,85123A
S00027,12679,2011-11-15,6,22423
S00027,12679,2011-11-15,7,84879
S00027,12679,2011-11-15,8,23209
S00027,12679,2011-11-15,9,20725
S00027,12679,2011-11-15,10,22720
S00028,18097,2011-03-01,1,85123A
S00028,18097,2011-03-01,2,22423
S00028,18097,2011-03-01,3,22469
S00028,18097,2011-03-01,4,22720
S00028,18097,2011-03-01,5,22470
S00028,18097,2011-03-01,6,22961
S00028,18097,2011-03-01,7,85099B
S00028,18097,2011-03-01,8,84879
S00028,18097,2011-03-01,9,22457
S00028,18097,2011-03-01,10,22960
S00029,14709,2011-09-01,1,20713
S00029,14709,2011-09-01,2,85099F
S00029,14709,2011-09-01,3,20712
S00029,14709,2011-09-01,4,20725
S00029,14709,2011-09-01,5,22379
S00029,14709,2011-09-01,6,21934
S00029,14709,2011-09-01,7,22383
S00029,14709,2011-09-01,8,20711
S00029,14709,2011-09-01,9,22382
S00029,14709,2011-09-01,10,20726
S00030,14032,2011-03-01,1,22629
S00030,14032,2011-03-01,2,22971
S00030,14032,2011-03-01,3,22556
S00030,14032,2011-03-01,4,22961
S00030,14032,2011-03-01,5,22972
S00030,14032,2011-03-01,6,22966
S00030,14032,2011-03-01,7,22558
S00030,14032,2011-03-01,8,22834
S00030,14032,2011-03-01,9,22745
S00030,14032,2011-03-01,10,21877
S00031,16059,2010-09-01,1,21232
S00031,16059,2010-09-01,2,21154
S00031,16059,2010-09-01,3,20725
S00031,16059,2010-09-01,4,22528
S00031,16059,2010-09-01,5,84879
S00031,16059,2010-09-01,6,85152
S00031,16059,2010-09-01,7,85099B
S00031,16059,2010-09-01,8,21122
S00031,16059,2010-09-01,9,22465
S00031,16059,2010-09-01,10,22553
S00032,15993,2011-11-15,1,85099B
S00032,15993,2011-11-15,2,23355
S00032,15993,2011-11-15,3,22086
S00032,15993,2011-11-15,4,23203
S00032,15993,2011-11-15,5,85123A
S00032,15993,2011-11-15,6,22423
S00032,15993,2011-11-15,7,84879
S00032,15993,2011-11-15,8,23209
S00032,15993,2011-11-15,9,20725
S00032,15993,2011-11-15,10,22720
S00033,14092,2011-06-01,1,22630
S00033,14092,2011-06-01,2,22432
S00033,14092,2011-06-01,3,20725
S00033,14092,2011-06-01,4,22382
S00033,14092,2011-06-01,5,23206
S00033,14092,2011-06-01,6,22554
S00033,14092,2011-06-01,7,85099B
S00033,14092,2011-06-01,8,20726
S00033,14092,2011-06-01,9,20727
S00033,14092,2011-06-01,10,22383
S00034,13249,2011-11-15,1,85123A
