strategy_id,entry_step,exit_step,trade_return,open_at_cutoff
S00001,20,21,0.08496918,0
S00001,40,54,-0.17064421,0
S00001,58,62,0.13576428,0
S00001,103,117,-0.3008857,0
S00001,137,144,0.08398423,0
S00001,201,226,-0.50293062,0
S00001,247,256,-0.0739213,0
S00001,315,330,-0.14397718,0
S00001,397,405,-0.06973637,0
S00001,410,412,0.08362372,0
S00001,435,445,0.00881126,0
S00002,13,21,-0.02632574,0
S00002,36,37,-0.08644127,0
S00002,38,41,0.0168141,0
S00002,43,45,-0.06777777,0
S00002,63,70,-0.04859692,0
S00002,88,89,-0.02381996,0
S00002,121,123,-0.03974444,0
S00002,147,148,-0.01240108,0
S00002,150,168,0.00272971,0
S00002,182,183,-0.00514742,0
S00002,187,188,-0.07914489,0
S00002,228,230,0.00709085,0
S00002,250,252,0.50562119,0
S00002,319,320,-0.00148873,0
S00002,321,328,0.00339265,0
S00002,365,366,0.01425556,0
S00002,367,377,-0.01004343,0
S00002,380,383,-0.03736659,0
S00002,399,400,-0.02164271,0
S00002,401,403,0.00213529,0
S00002,405,411,0.52741201,0
S00002,431,436,-0.04417599,0
S00002,443,449,0.17706116,1
S00003,31,42,0.04248988,0
S00003,68,72,0.21099602,0
S00003,90,92,0.14647456,0
S00003,106,125,-0.05737631,0
S00003,138,164,-0.24825783,0
S00003,182,192,0.08755418,0
S00003,249,278,-0.39460341,0
S00003,294,313,-0.13784265,0
S00003,326,327,0.08675492,0
S00003,364,384,0.01413638,0
S00003,389,393,0.03915334,0
S00003,394,406,0.02569362,0
S00003,417,431,-0.01028299,0
S00003,445,449,-0.15396601,1
S00004,38,77,0.32601711,0
S00004,78,102,0.05461564,0
S00004,196,222,-0.01906607,0
S00004,308,313,-0.13298345,0
S00004,316,350,0.09703708,0
S00004,428,432,-0.16086545,0
S00005,36,42,0.11665794,0
S00005,47,86,-0.24269903,0
S00005,98,118,0.20951888,0
S00005,149,188,-0.35558159,0
S00005,211,236,0.0507702,0
S00005,240,244,0.08283282,0
S00005,323,351,-0.10939104,0
S00005,395,423,-0.24634392,0
S00006,46,58,0.10898544,0
S00006,103,140,-0.21474231,0
S00006,169,184,0.06327678,0
S00006,267,305,-0.37981763,0
